it: 342, grad_norm: 42.8456170012906, cross_entropy: 164.63455995311068
it: 343, grad_norm: 42.82698793940322, cross_entropy: 164.61620647605164
it: 344, grad_norm: 42.80838592529758, cross_entropy: 164.59786895146678
it: 345, grad_norm: 42.78981092273234, cross_entropy: 164.57954734927307
it: 346, grad_norm: 42.77126289548561, cross_entropy: 164.56124163944878
it: 347, grad_norm: 42.75274180735509, cross_entropy: 164.5429517920331
it: 348, grad_norm: 42.73424762215808, cross_entropy: 164.52467777712636
it: 349, grad_norm: 42.715780303731584, cross_entropy: 164.50641956488954
it: 350, grad_norm: 42.69733981593251, cross_entropy: 164.48817712554444
it: 351, grad_norm: 42.67892612263762, cross_entropy: 164.4699504293734
it: 352, grad_norm: 42.66053918774365, cross_entropy: 164.45173944671936
it: 353, grad_norm: 42.64217897516747, cross_entropy: 164.43354414798551
it: 354, grad_norm: 42.62384544884609, cross_entropy: 164.41536450363543
it: 355, grad_norm: 42.605538572736734, cross_entropy: 164.39720048419275
it: 356, grad_norm: 42.587258310817, cross_entropy: 164.37905206024115
it: 357, grad_norm: 42.56900462708492, cross_entropy: 164.36091920242427
it: 358, grad_norm: 42.550777485558996, cross_entropy: 164.3428018814456
it: 359, grad_norm: 42.53257685027829, cross_entropy: 164.3247000680683
it: 360, grad_norm: 42.51440268530261, cross_entropy: 164.306613733115
it: 361, grad_norm: 42.49625495471247, cross_entropy: 164.28854284746802
it: 362, grad_norm: 42.478133622609235, cross_entropy: 164.2704873820689
it: 363, grad_norm: 42.46003865311518, cross_entropy: 164.2524473079185
it: 364, grad_norm: 42.44197001037357, cross_entropy: 164.2344225960768
it: 365, grad_norm: 42.42392765854882, cross_entropy: 164.21641321766276
it: 366, grad_norm: 42.40591156182642, cross_entropy: 164.19841914385432
it: 367, grad_norm: 42.38792168441314, cross_entropy: 164.18044034588826
it: 368, grad_norm: 42.369957990537124, cross_entropy: 164.16247679505997
it: 369, grad_norm: 42.352020444447874, cross_entropy: 164.1445284627235
it: 370, grad_norm: 42.33410901041637, cross_entropy: 164.1265953202913
it: 371, grad_norm: 42.316223652735175, cross_entropy: 164.1086773392343
it: 372, grad_norm: 42.298364335718524, cross_entropy: 164.09077449108156
it: 373, grad_norm: 42.280531023702345, cross_entropy: 164.07288674742034
it: 374, grad_norm: 42.26272368104442, cross_entropy: 164.05501407989593
it: 375, grad_norm: 42.24494227212434, cross_entropy: 164.03715646021158
it: 376, grad_norm: 42.227186761343695, cross_entropy: 164.0193138601283
it: 377, grad_norm: 42.209457113126135, cross_entropy: 164.0014862514648
